Time (elapsed) ,ECG (mV),Resp C (mV),Resp A (mV),Resp N (mV), SpO2 (mV)
00:00:00.000,-0.060,-0.102,-0.345,0.235,98.000
00:00:00.010,-0.065,-0.102,-0.345,0.236,98.000
00:00:00.020,-0.060,-0.103,-0.346,0.237,98.000
00:00:00.030,-0.075,-0.104,-0.347,0.238,98.000
00:00:00.040,-0.065,-0.105,-0.348,0.239,98.000
00:00:00.050,-0.070,-0.107,-0.349,0.240,98.000
00:00:00.060,-0.070,-0.103,-0.351,0.241,98.000
00:00:00.070,-0.090,-0.099,-0.353,0.242,98.000
00:00:00.080,-0.080,-0.096,-0.355,0.243,98.000
00:00:00.090,-0.095,-0.092,-0.356,0.244,98.000
00:00:00.100,-0.080,-0.089,-0.358,0.245,98.000
00:00:00.110,-0.095,-0.088,-0.358,0.246,98.000
00:00:00.120,-0.080,-0.086,-0.359,0.246,98.000
00:00:00.130,-0.095,-0.085,-0.359,0.247,98.000
00:00:00.140,-0.085,-0.084,-0.359,0.248,98.000
00:00:00.150,-0.090,-0.083,-0.360,0.249,98.000
00:00:00.160,-0.090,-0.085,-0.359,0.250,98.000
00:00:00.170,-0.100,-0.087,-0.359,0.251,98.000
00:00:00.180,-0.085,-0.089,-0.359,0.252,98.000
00:00:00.190,-0.105,-0.091,-0.358,0.252,98.000
00:00:00.200,-0.090,-0.093,-0.358,0.253,98.000
00:00:00.210,-0.045,-0.096,-0.358,0.254,98.000
00:00:00.220,0.005,-0.098,-0.357,0.255,98.000
00:00:00.230,0.015,-0.100,-0.357,0.256,98.000
00:00:00.240,0.045,-0.102,-0.357,0.257,98.000
00:00:00.250,0.155,-0.104,-0.357,0.257,98.000
00:00:00.260,0.140,-0.098,-0.357,0.258,98.000
00:00:00.270,0.045,-0.093,-0.358,0.259,98.000
00:00:00.280,0.005,-0.087,-0.359,0.259,98.000
00:00:00.290,-0.040,-0.082,-0.359,0.260,98.000
00:00:00.300,-0.085,-0.076,-0.360,0.260,98.000
00:00:00.310,-0.200,-0.080,-0.360,0.261,98.000
00:00:00.320,-0.195,-0.084,-0.359,0.262,98.000
00:00:00.330,-0.200,-0.087,-0.359,0.262,98.000
00:00:00.340,-0.200,-0.091,-0.359,0.263,98.000
00:00:00.350,-0.240,-0.094,-0.358,0.264,98.000
00:00:00.360,-0.130,-0.096,-0.359,0.264,98.000
00:00:00.370,0.340,-0.098,-0.361,0.265,98.000
00:00:00.380,1.155,-0.100,-0.362,0.266,98.000
